text            ,count
ヤンヤン            ,1980
笑               ,1945
学習              ,1776
深井              ,1297
樋口              ,777
【はじめしゃちょー】      ,752
【はじめしゃちょーエスペラント】,573
【はじめしゃちょーエンディング】,526
エルゲン語学ラジオ       ,400
【はじめ】           ,150
【大童】            ,134
